datetime,Distance_82,Distance_83
2024-07-05 04:06:21.136279,0.79,0.46
2024-07-05 04:06:21.150290,0.79,0.5
2024-07-05 04:06:21.259693,0.77,0.5
2024-07-05 04:06:21.273795,0.77,0.47
2024-07-05 04:06:21.383293,0.77,0.47
2024-07-05 04:06:21.396287,0.77,0.54
2024-07-05 04:06:21.506165,0.74,0.54
2024-07-05 04:06:21.519553,0.74,0.46
2024-07-05 04:06:21.628969,0.76,0.46
2024-07-05 04:06:21.642429,0.76,0.53
2024-07-05 04:06:21.752347,0.75,0.53
2024-07-05 04:06:21.765552,0.75,0.52
2024-07-05 04:06:21.875024,0.73,0.52
2024-07-05 04:06:21.889018,0.73,0.53
2024-07-05 04:06:21.997559,0.74,0.53
2024-07-05 04:06:22.011820,0.74,0.5
2024-07-05 04:06:22.121397,0.74,0.5
2024-07-05 04:06:22.135417,0.74,0.44
2024-07-05 04:06:22.244497,0.69,0.44
2024-07-05 04:06:22.258525,0.69,0.57
2024-07-05 04:06:22.367833,0.71,0.57
2024-07-05 04:06:22.381216,0.71,0.5
2024-07-05 04:06:22.490306,0.68,0.5
2024-07-05 04:06:22.504641,0.68,0.54
2024-07-05 04:06:22.612608,0.74,0.54
2024-07-05 04:06:22.627616,0.74,0.46
2024-07-05 04:06:22.982388,0.72,0.46
2024-07-05 04:06:22.995502,0.72,0.48
2024-07-05 04:06:23.105582,0.72,0.48
2024-07-05 04:06:23.119763,0.72,0.49
2024-07-05 04:06:23.228012,0.77,0.49
2024-07-05 04:06:23.242030,0.77,0.48
2024-07-05 04:06:23.351323,0.77,0.48
2024-07-05 04:06:23.365065,0.77,0.5
2024-07-05 04:06:23.474283,0.69,0.5
2024-07-05 04:06:23.488431,0.69,0.48
2024-07-05 04:06:23.596895,0.75,0.48
2024-07-05 04:06:23.610861,0.75,0.47
2024-07-05 04:06:23.719470,0.78,0.47
2024-07-05 04:06:23.733460,0.78,0.52
2024-07-05 04:06:23.842831,0.75,0.52
2024-07-05 04:06:23.856717,0.75,0.43
2024-07-05 04:06:23.966168,0.68,0.43
2024-07-05 04:06:23.980632,0.68,0.5
2024-07-05 04:06:24.089418,0.75,0.5
2024-07-05 04:06:24.103411,0.75,0.53
2024-07-05 04:06:24.212759,0.71,0.53
2024-07-05 04:06:24.226759,0.71,0.4
2024-07-05 04:06:24.335279,0.68,0.4
2024-07-05 04:06:24.349289,0.68,0.46
2024-07-05 04:06:24.458224,0.77,0.46
2024-07-05 04:06:24.472230,0.77,0.53
2024-07-05 04:06:24.580771,0.72,0.53
2024-07-05 04:06:24.594768,0.72,0.44
2024-07-05 04:06:24.704396,0.72,0.44
2024-07-05 04:06:24.718456,0.72,0.46
2024-07-05 04:06:24.827474,0.77,0.46
2024-07-05 04:06:24.840291,0.77,0.5
2024-07-05 04:06:24.950153,0.74,0.5
2024-07-05 04:06:24.964680,0.74,0.5
2024-07-05 04:06:25.073677,0.68,0.5
2024-07-05 04:06:25.086710,0.68,0.48
2024-07-05 04:06:25.196621,0.7,0.48
2024-07-05 04:06:25.209712,0.7,0.45
2024-07-05 04:06:25.564529,0.73,0.45
2024-07-05 04:06:25.578622,0.73,0.48
2024-07-05 04:06:25.688360,0.73,0.48
2024-07-05 04:06:25.702517,0.73,0.5
2024-07-05 04:06:25.810923,0.76,0.5
2024-07-05 04:06:25.824915,0.76,0.51
2024-07-05 04:06:25.934830,0.76,0.51
2024-07-05 04:06:25.948294,0.76,0.51
2024-07-05 04:06:26.057755,0.76,0.51
2024-07-05 04:06:26.070755,0.76,0.47
2024-07-05 04:06:26.180074,0.76,0.47
2024-07-05 04:06:26.194238,0.76,0.46
2024-07-05 04:06:26.302967,0.75,0.46
2024-07-05 04:06:26.316966,0.75,0.47
2024-07-05 04:06:26.425311,0.82,0.47
2024-07-05 04:06:26.439628,0.82,0.49
2024-07-05 04:06:26.548816,0.76,0.49
2024-07-05 04:06:26.562636,0.76,0.49
2024-07-05 04:06:26.671402,0.71,0.49
2024-07-05 04:06:26.686383,0.71,0.46
2024-07-05 04:06:26.795192,0.76,0.46
2024-07-05 04:06:26.809144,0.76,0.47
2024-07-05 04:06:26.918725,0.77,0.47
2024-07-05 04:06:26.931871,0.77,0.5
2024-07-05 04:06:27.041036,0.72,0.5
2024-07-05 04:06:27.055041,0.72,0.52
2024-07-05 04:06:27.164175,0.73,0.52
2024-07-05 04:06:27.178117,0.73,0.53
2024-07-05 04:06:27.287459,0.77,0.53
2024-07-05 04:06:27.300564,0.77,0.5
2024-07-05 04:06:27.409929,0.76,0.5
2024-07-05 04:06:27.423935,0.76,0.52
2024-07-05 04:06:27.533538,0.77,0.52
2024-07-05 04:06:27.547543,0.77,0.36
2024-07-05 04:06:27.655999,0.74,0.36
2024-07-05 04:06:27.670098,0.74,0.52
2024-07-05 04:06:27.779533,0.76,0.52
2024-07-05 04:06:27.792707,0.76,0.49
2024-07-05 04:06:28.148131,0.76,0.49
2024-07-05 04:06:28.161716,0.76,0.49
2024-07-05 04:06:28.271117,0.77,0.49
2024-07-05 04:06:28.285410,0.77,0.46
2024-07-05 04:06:28.394160,0.74,0.46
2024-07-05 04:06:28.407166,0.74,0.49
2024-07-05 04:06:28.516828,0.75,0.49
2024-07-05 04:06:28.530981,0.75,0.51
2024-07-05 04:06:28.640588,0.75,0.51
2024-07-05 04:06:28.653589,0.75,0.53
2024-07-05 04:06:28.763414,0.71,0.53
2024-07-05 04:06:28.777411,0.71,0.5
2024-07-05 04:06:28.886169,0.69,0.5
2024-07-05 04:06:28.900161,0.69,0.51
2024-07-05 04:06:29.132656,0.76,0.51
2024-07-05 04:06:29.145630,0.76,0.45
2024-07-05 04:06:29.255283,0.74,0.45
2024-07-05 04:06:29.269324,0.74,0.46
2024-07-05 04:06:29.501809,0.75,0.46
2024-07-05 04:06:29.515809,0.75,0.49
2024-07-05 04:06:29.623153,0.77,0.49
2024-07-05 04:06:29.637150,0.77,0.44
2024-07-05 04:06:29.746785,0.73,0.44
2024-07-05 04:06:29.760792,0.73,0.41
2024-07-05 04:06:29.870364,0.78,0.41
2024-07-05 04:06:29.883367,0.78,0.47
2024-07-05 04:06:29.993369,0.73,0.47
2024-07-05 04:06:30.007200,0.73,0.52
2024-07-05 04:06:30.116265,0.71,0.52
2024-07-05 04:06:30.130271,0.71,0.43
2024-07-05 04:06:30.238846,0.78,0.43
2024-07-05 04:06:30.253218,0.78,0.5
2024-07-05 04:06:30.361808,0.69,0.5
2024-07-05 04:06:30.375866,0.69,0.47
2024-07-05 04:06:30.730918,0.7,0.47
2024-07-05 04:06:30.744940,0.7,0.53
2024-07-05 04:06:30.854713,0.68,0.53
2024-07-05 04:06:30.867957,0.68,0.49
2024-07-05 04:06:30.977261,0.68,0.49
2024-07-05 04:06:30.990255,0.68,0.47
2024-07-05 04:06:31.100430,0.78,0.47
2024-07-05 04:06:31.113650,0.78,0.45
2024-07-05 04:06:31.222608,0.77,0.45
2024-07-05 04:06:31.236744,0.77,0.45
2024-07-05 04:06:31.345905,0.75,0.45
2024-07-05 04:06:31.360211,0.75,0.45
2024-07-05 04:06:31.468868,0.81,0.45
2024-07-05 04:06:31.482934,0.81,0.48
2024-07-05 04:06:31.591920,0.77,0.48
2024-07-05 04:06:31.606080,0.77,0.49
2024-07-05 04:06:31.838703,0.76,0.49
2024-07-05 04:06:31.852389,0.76,0.46
2024-07-05 04:06:32.083745,0.72,0.46
2024-07-05 04:06:32.097745,0.72,0.5
2024-07-05 04:06:32.207152,0.77,0.5
2024-07-05 04:06:32.221318,0.77,0.51
2024-07-05 04:06:32.330490,0.75,0.51
2024-07-05 04:06:32.343492,0.75,0.45
2024-07-05 04:06:32.453548,0.78,0.45
2024-07-05 04:06:32.467365,0.78,0.53
2024-07-05 04:06:32.699071,0.72,0.53
2024-07-05 04:06:32.712140,0.72,0.44
2024-07-05 04:06:32.821787,0.76,0.44
2024-07-05 04:06:32.835901,0.76,0.5
2024-07-05 04:06:32.944220,0.76,0.5
2024-07-05 04:06:32.958299,0.76,0.44
2024-07-05 04:06:33.313199,0.77,0.44
2024-07-05 04:06:33.327235,0.77,0.49
2024-07-05 04:06:33.437015,0.76,0.49
2024-07-05 04:06:33.451011,0.76,0.53
2024-07-05 04:06:33.560104,0.77,0.53
2024-07-05 04:06:33.573552,0.77,0.52
2024-07-05 04:06:33.682021,0.75,0.52
