Timestamp,Device,Distance_82,Distance_83,X,Y
1720123579.182568,Distance,0.73,0.54,0.6206499999999999,0.3843092212008451
1720123579.2914875,Distance,0.69,0.54,0.5922499999999999,0.3540338084138293
1720123579.305486,Distance,0.69,0.58,0.56985,0.3890642331286699
1720123579.4151847,Distance,0.67,0.58,0.55625,0.3734781620121851
1720123579.4291377,Distance,0.67,0.59,0.5504,0.38204690811469744
1720123579.5371606,Distance,0.65,0.59,0.5372000000000001,0.36594556972314873
1720123579.551303,Distance,0.65,0.5,0.58625,0.28073285789162616
1720123579.6608527,Distance,0.69,0.5,0.61305,0.31665390807630955
1720123579.674367,Distance,0.69,0.47,0.6275999999999999,0.2867372316250542
1720123579.7836123,Distance,0.66,0.47,0.6073500000000001,0.25831371914786094
1720123579.7976341,Distance,0.66,0.53,0.57735,0.31979208479885807
1720123579.9064348,Distance,0.69,0.53,0.5975999999999999,0.34492642693768777
1720123579.920814,Distance,0.69,0.54,0.5922499999999999,0.3540338084138293
1720123580.0299292,Distance,0.71,0.54,0.60625,0.36954152337727886
1720123580.0439005,Distance,0.71,0.53,0.6115999999999999,0.36061813598320314
1720123580.39903,Distance,0.66,0.53,0.57735,0.31979208479885807
1720123580.412014,Distance,0.66,0.54,0.572,0.329265850036107
1720123580.5217187,Distance,0.69,0.54,0.5922499999999999,0.3540338084138293
1720123580.5357497,Distance,0.69,0.59,0.5640000000000001,0.3974971698012451
1720123580.6448145,Distance,0.49,0.59,0.446,0.2029384143034531
1720123580.6585054,Distance,0.49,0.77,0.3236,0.36794434361734657
1720123580.7672393,Distance,0.56,0.77,0.36035000000000006,0.4286582292456311
1720123580.7813978,Distance,0.56,0.54,0.511,0.22908295440735002
1720123580.890855,Distance,0.74,0.54,0.628,0.3914281543272022
1720123580.9045167,Distance,0.74,0.53,0.6333500000000001,0.38271108881243543
1720123581.0132267,Distance,0.81,0.53,0.6876,0.4281427799227731
1720123581.0294628,Distance,0.81,0.46,0.7222500000000001,0.3666809750996089
1720123581.1362789,Distance,0.79,0.46,0.70625,0.3539928495040543
1720123581.1502898,Distance,0.79,0.5,0.68705,0.3899516604657557
1720123581.2596934,Distance,0.77,0.5,0.67145,0.3769017080088653
1720123581.2737947,Distance,0.77,0.47,0.6859999999999999,0.34971988791031056
1720123581.383293,Distance,0.77,0.47,0.6859999999999999,0.34971988791031056
1720123581.3962872,Distance,0.77,0.54,0.65065,0.4117700541564432
1720123581.506165,Distance,0.74,0.54,0.628,0.3914281543272022
1720123581.5195534,Distance,0.74,0.46,0.668,0.3183959798741183
1720123581.6289687,Distance,0.76,0.46,0.6829999999999999,0.33333316666662505
1720123581.642429,Distance,0.76,0.53,0.64835,0.3965378638919619
1720123581.752347,Distance,0.75,0.53,0.6408,0.389711893582939
1720123581.7655523,Distance,0.75,0.52,0.64605,0.38094539963097074
1720123581.8750238,Distance,0.73,0.52,0.63125,0.36663801971426807
1720123581.8890185,Distance,0.73,0.53,0.6259999999999999,0.3755316231690749
1720123581.9975586,Distance,0.74,0.53,0.6333500000000001,0.38271108881243543
1720123582.0118203,Distance,0.74,0.5,0.6488,0.35589121933534684
1720123582.1213973,Distance,0.74,0.5,0.6488,0.35589121933534684
1720123582.1354167,Distance,0.74,0.44,0.677,0.29878252960974794
1720123582.2444968,Distance,0.69,0.44,0.64125,0.25475171736418184
1720123582.2585247,Distance,0.69,0.57,0.5756,0.38050576868163233
1720123582.367833,Distance,0.71,0.57,0.5896,0.39556521586206234
1720123582.3812158,Distance,0.71,0.5,0.62705,0.33302897396472875
1720123582.4903064,Distance,0.68,0.5,0.6062000000000001,0.3080934273885115
1720123582.5046408,Distance,0.68,0.54,0.5854,0.34598676275256546
1720123582.612608,Distance,0.74,0.54,0.628,0.3914281543272022
1720123582.6276164,Distance,0.74,0.46,0.668,0.3183959798741183
1720123582.9823875,Distance,0.72,0.46,0.6534,0.3024374976751395
1720123582.9955022,Distance,0.72,0.48,0.644,0.3219689426016118
1720123583.1055818,Distance,0.72,0.48,0.644,0.3219689426016118
1720123583.1197627,Distance,0.72,0.49,0.63915,0.3314924999151565
